Security,Brokerage,Built-up area,Bathrooms,Age of property,Price,School Time,School Distance,Hospital Time,Hospital Distance,Railway Time,Railway Distance,Area,City
100000.0,21000,1800.0,3.0,5.0,21000.0,1,0.4,1,0.6,15,11.1,Kodailbail,Mangalore
200000.0,35000,1300.0,2.0,8.0,35000.0,1,0.4,1,0.6,15,11.1,Kodailbail,Mangalore
100000.0,25000,1750.0,3.0,8.0,25000.0,1,0.4,1,0.6,15,11.1,Kodailbail,Mangalore
100000.0,25000,1500.0,3.0,10.0,25000.0,1,0.4,2,1.3,15,11.1,Kodailbail,Mangalore
63000.0,0,700.0,1.0,1.0,10500.0,1,0.4,2,1.2,15,11.1,Kodailbail,Mangalore
60000.0,15000,1100.0,2.0,10.0,15000.0,1,0.4,1,0.6,15,11.1,Kodailbail,Mangalore
100000.0,20000,2000.0,2.0,15.0,20000.0,4,2.6,1,0.4,15,11.1,Kodailbail,Mangalore
15000.0,26000,1700.0,3.0,6.0,26000.0,4,2.6,2,1.3,15,11.1,Kodailbail,Mangalore
150000.0,0,2000.0,1.0,0.0,15000.0,1,0.4,1,0.6,15,11.1,Kodailbail,Mangalore
75000.0,0,1000.0,1.0,30.0,20000.0,4,2.6,1,0.4,15,11.1,Kodailbail,Mangalore
150000.0,40000,2200.0,3.0,8.0,40000.0,1,0.5,1,0.4,15,11.1,Kodailbail,Mangalore
80000.0,40000,2300.0,2.0,5.0,40000.0,1,0.5,1,0.5,15,11.1,Kodailbail,Mangalore
100000.0,22000,1800.0,3.0,5.0,22000.0,1,0.9,1,0.7,15,11.1,Kodailbail,Mangalore
100000.0,20000,1550.0,2.0,4.0,20000.0,1,0.6,1,0.7,15,11.1,Kodailbail,Mangalore
10000.0,20000,1250.0,2.0,5.0,20000.0,1,0.5,2,0.9,15,11.1,Kodailbail,Mangalore
200000.0,35000,1400.0,3.0,8.0,35000.0,1,0.5,2,0.9,15,11.1,Kodailbail,Mangalore
100000.0,22000,1250.0,2.0,5.0,22500.0,1,0.5,2,0.9,15,11.1,Kodailbail,Mangalore
200000.0,30000,1300.0,2.0,5.0,30000.0,1,0.2,3,1.3,15,11.1,Kodailbail,Mangalore
30000.0,0,150.0,1.0,0.0,15000.0,1,0.2,3,1.3,15,11.1,Kodailbail,Mangalore
300000.0,45000,2200.0,3.0,2.0,45000.0,2,0.7,2,1.3,15,11.1,Ladyhill,Mangalore
18000.0,18000,1200.0,1.0,11.0,18000.0,2,1.1,3,1.8,15,11.1,Ladyhill,Mangalore
250000.0,50000,3000.0,3.0,10.0,50000.0,2,1.1,3,1.8,15,11.1,Ladyhill,Mangalore
10000.0,0,150.0,1.0,12.0,5000.0,2,1.1,3,1.8,15,11.1,Ladyhill,Mangalore
100000.0,23000,1100.0,2.0,15.0,23000.0,2,1.1,3,1.8,15,11.1,Ladyhill,Mangalore
100000.0,25000,1200.0,2.0,15.0,25000.0,2,1.1,3,1.8,15,11.1,Ladyhill,Mangalore
300000.0,50000,1500.0,3.0,5.0,45000.0,2,0.7,2,1.3,15,11.1,Ladyhill,Mangalore
50000.0,8000,1500.0,2.0,9.0,17000.0,2,1.1,3,1.8,15,11.1,Ladyhill,Mangalore
150000.0,20000,1250.0,2.0,10.0,20000.0,2,1.1,3,1.8,15,11.1,Ladyhill,Mangalore
80000.0,0,700.0,2.0,1.0,15000.0,1,0.8,3,2.4,15,11.1,Ladyhill,Mangalore
80000.0,18000,1300.0,2.0,5.0,18000.0,1,0.8,3,2.1,15,11.1,Ladyhill,Mangalore
50000.0,15000,900.0,2.0,15.0,15000.0,1,0.8,3,2.1,15,11.1,Ladyhill,Mangalore
300000.0,65000,4000.0,6.0,6.0,65000.0,1,0.8,3,2.1,15,11.1,Ladyhill,Mangalore
18000.0,18000,1250.0,2.0,10.0,18000.0,1,0.8,3,2.1,15,11.1,Ladyhill,Mangalore
